Age,Height(cm),Weight(kg),Veg/Non-Veg,Gender,Workout,Vegan,Protein_min(g),Protein_max(g)
18,162,60,Non-veg,F,True,False,72.0,90.0
24,164,114,Non-veg,F,True,False,136.8,171.0
47,184,56,Non-veg,M,True,False,84.0,100.8
43,150,115,Veg,F,False,True,138.0,172.5
52,162,105,Veg,F,True,True,126.0,157.5
18,150,102,Veg,F,False,False,122.4,153.0
36,166,92,Non-veg,F,False,False,110.4,138.0
28,187,41,Non-veg,M,True,False,61.5,73.8
38,151,51,Non-veg,F,False,False,61.2,76.5
36,157,51,Veg,F,True,False,61.2,76.5
43,153,81,Non-veg,F,False,True,97.2,121.5
23,167,60,Veg,M,False,True,90.0,108.0
36,155,59,Non-veg,F,True,True,70.8,88.5
53,179,103,Non-veg,M,True,True,154.5,185.4
49,168,94,Non-veg,F,True,False,112.8,141.0
36,168,99,Non-veg,F,True,False,118.8,148.5
31,151,75,Veg,F,True,True,90.0,112.5
42,156,102,Non-veg,F,True,True,122.4,153.0
31,169,119,Non-veg,F,False,True,142.8,178.5
45,160,94,Veg,M,True,True,141.0,169.2
56,168,85,Veg,M,False,True,127.5,153.0
41,183,115,Non-veg,M,False,False,172.5,207.0
40,186,40,Veg,M,True,True,60.0,72.0
41,154,92,Veg,F,False,True,110.4,138.0
55,169,46,Non-veg,F,True,False,55.2,69.0
54,171,51,Non-veg,M,True,False,76.5,91.8
33,166,55,Veg,F,True,False,66.0,82.5
38,178,113,Non-veg,M,False,True,169.5,203.4
47,159,118,Non-veg,F,False,True,141.6,177.0
33,164,40,Non-veg,F,True,True,48.0,60.0
18,163,76,Veg,M,False,False,114.0,136.8
59,172,84,Veg,M,True,True,126.0,151.2
49,189,69,Non-veg,M,True,False,103.5,124.2
39,160,94,Veg,M,False,False,141.0,169.2
35,163,94,Non-veg,F,False,False,112.8,141.0
26,156,99,Non-veg,F,True,False,118.8,148.5
50,152,53,Veg,F,False,False,63.6,79.5
48,150,85,Non-veg,F,False,True,102.0,127.5
39,159,55,Non-veg,F,True,True,66.0,82.5
42,170,48,Veg,F,False,False,57.6,72.0
19,163,54,Veg,F,True,True,64.8,81.0
30,189,56,Veg,M,True,True,84.0,100.8
59,159,69,Non-veg,F,True,False,82.8,103.5
19,169,98,Veg,M,True,True,147.0,176.4
40,166,85,Non-veg,F,True,True,102.0,127.5
27,174,89,Non-veg,M,True,False,133.5,160.2
36,156,42,Veg,F,True,False,50.4,63.0
29,154,58,Non-veg,F,False,True,69.6,87.0
50,158,101,Veg,F,True,True,121.2,151.5
27,165,40,Non-veg,M,False,True,60.0,72.0
47,155,49,Non-veg,F,False,False,58.8,73.5
48,169,113,Veg,M,False,True,169.5,203.4
35,153,116,Veg,F,True,False,139.2,174.0
23,186,64,Non-veg,M,True,False,96.0,115.2
27,168,102,Non-veg,F,False,False,122.4,153.0
23,163,101,Veg,F,False,True,121.2,151.5
33,155,64,Veg,F,True,False,76.8,96.0
31,166,86,Veg,F,True,True,103.2,129.0
28,167,115,Veg,M,False,False,172.5,207.0
28,156,46,Veg,F,True,False,55.2,69.0
40,164,75,Veg,F,False,False,90.0,112.5
42,185,73,Veg,M,True,True,109.5,131.4
59,154,43,Non-veg,F,False,False,51.6,64.5
27,184,50,Non-veg,M,True,True,75.0,90.0
46,150,81,Non-veg,F,True,True,97.2,121.5
44,169,81,Non-veg,F,True,True,97.2,121.5
44,152,46,Veg,F,True,False,55.2,69.0
38,168,74,Veg,F,True,True,88.8,111.0
31,158,111,Veg,F,False,False,133.2,166.5
38,165,95,Veg,M,False,False,142.5,171.0
51,151,110,Veg,F,True,True,132.0,165.0
59,171,48,Veg,M,True,True,72.0,86.4
18,170,73,Non-veg,F,True,False,87.6,109.5
37,163,43,Veg,F,False,False,51.6,64.5
28,184,72,Non-veg,M,False,False,108.0,129.6
25,161,73,Veg,F,False,False,87.6,109.5
40,156,86,Veg,F,False,True,103.2,129.0
40,156,106,Non-veg,F,True,False,127.2,159.0
23,179,41,Veg,M,True,True,61.5,73.8
18,189,93,Veg,M,True,True,139.5,167.4
49,182,81,Veg,M,False,False,121.5,145.8
18,165,112,Veg,F,True,False,134.4,168.0
57,153,56,Non-veg,F,True,True,67.2,84.0
43,152,68,Non-veg,F,True,False,81.6,102.0
30,167,101,Veg,M,False,False,151.5,181.8
30,183,79,Non-veg,M,True,True,118.5,142.2
43,183,79,Veg,M,True,True,118.5,142.2
44,181,49,Non-veg,M,False,True,73.5,88.2
38,184,66,Veg,M,True,False,99.0,118.8
19,153,105,Non-veg,F,True,False,126.0,157.5
39,156,111,Veg,F,False,False,133.2,166.5
60,180,115,Non-veg,M,True,True,172.5,207.0
27,170,72,Non-veg,F,False,True,86.4,108.0
40,165,101,Non-veg,M,True,True,151.5,181.8
21,178,57,Non-veg,M,True,False,85.5,102.6
45,158,57,Non-veg,F,False,True,68.4,85.5
50,188,103,Non-veg,M,False,False,154.5,185.4
38,162,67,Veg,F,True,True,80.4,100.5
50,189,82,Non-veg,M,True,False,123.0,147.6
36,162,42,Veg,F,True,False,50.4,63.0
24,160,111,Veg,M,False,True,166.5,199.8
55,153,107,Non-veg,F,True,False,128.4,160.5
40,168,69,Non-veg,F,False,True,82.8,103.5
23,185,94,Non-veg,M,False,True,141.0,169.2
47,165,117,Non-veg,F,False,False,140.4,175.5
53,174,59,Veg,M,False,True,88.5,106.2
21,164,41,Veg,F,False,False,49.2,61.5
46,155,111,Non-veg,F,False,True,133.2,166.5
56,188,71,Non-veg,M,False,True,106.5,127.8
58,183,73,Veg,M,True,True,109.5,131.4
21,173,52,Non-veg,M,False,False,78.0,93.6
60,158,103,Veg,F,False,False,123.6,154.5
22,169,103,Veg,F,True,False,123.6,154.5
48,157,71,Non-veg,F,False,False,85.2,106.5
50,151,116,Veg,F,True,False,139.2,174.0
40,179,59,Veg,M,True,True,88.5,106.2
33,151,73,Non-veg,F,True,False,87.6,109.5
30,161,100,Veg,F,True,True,120.0,150.0
60,165,44,Veg,F,True,True,52.8,66.0
47,174,65,Non-veg,M,True,True,97.5,117.0
57,162,100,Non-veg,F,True,False,120.0,150.0
59,156,71,Veg,F,True,True,85.2,106.5
54,186,42,Veg,M,True,True,63.0,75.6
30,184,71,Veg,M,True,False,106.5,127.8
60,150,119,Non-veg,F,False,True,142.8,178.5
37,181,85,Veg,M,True,True,127.5,153.0
25,170,97,Non-veg,M,True,True,145.5,174.6
26,189,88,Non-veg,M,True,False,132.0,158.4
24,155,95,Veg,F,True,True,114.0,142.5
40,170,92,Veg,F,False,True,110.4,138.0
48,184,87,Veg,M,False,True,130.5,156.6
43,160,113,Veg,F,True,False,135.6,169.5
49,150,60,Veg,F,False,True,72.0,90.0
19,167,56,Veg,F,False,False,67.2,84.0
38,152,85,Veg,F,False,True,102.0,127.5
44,178,68,Non-veg,M,False,True,102.0,122.4
55,184,79,Non-veg,M,True,False,118.5,142.2
38,156,62,Veg,F,True,False,74.4,93.0
40,151,64,Veg,F,True,True,76.8,96.0
32,166,70,Veg,F,True,False,84.0,105.0
37,156,112,Non-veg,F,False,False,134.4,168.0
45,182,69,Non-veg,M,True,False,103.5,124.2
41,161,45,Veg,F,False,False,54.0,67.5
57,175,41,Non-veg,M,True,False,61.5,73.8
51,154,97,Veg,F,False,True,116.4,145.5
24,190,47,Non-veg,M,True,False,70.5,84.6
36,178,65,Non-veg,M,False,False,97.5,117.0
40,165,54,Non-veg,F,True,False,64.8,81.0
18,165,53,Non-veg,F,True,True,63.6,79.5
40,177,103,Non-veg,M,True,True,154.5,185.4
58,169,62,Non-veg,F,False,True,74.4,93.0
38,168,109,Non-veg,F,False,False,130.8,163.5
45,171,58,Non-veg,M,False,True,87.0,104.4
20,157,45,Non-veg,F,False,False,54.0,67.5
40,186,85,Veg,M,True,False,127.5,153.0
45,166,68,Non-veg,M,False,True,102.0,122.4
47,168,67,Non-veg,M,True,False,100.5,120.6
58,164,45,Veg,M,True,False,67.5,81.0
21,177,116,Non-veg,M,True,False,174.0,208.8
45,163,49,Non-veg,F,False,True,58.8,73.5
39,150,118,Non-veg,F,False,True,141.6,177.0
58,186,100,Veg,M,False,True,150.0,180.0
26,162,75,Veg,F,False,False,90.0,112.5
30,185,69,Non-veg,M,False,True,103.5,124.2
22,161,104,Non-veg,F,True,False,124.8,156.0
43,157,108,Non-veg,F,True,False,129.6,162.0
57,175,87,Veg,M,True,False,130.5,156.6
23,162,55,Veg,F,False,False,66.0,82.5
52,166,117,Veg,M,True,False,175.5,210.6
29,161,105,Non-veg,M,True,True,157.5,189.0
26,156,108,Veg,F,False,False,129.6,162.0
19,161,73,Non-veg,F,False,True,87.6,109.5
58,164,92,Veg,F,False,False,110.4,138.0
22,168,91,Veg,M,True,True,136.5,163.8
39,185,97,Veg,M,True,False,145.5,174.6
48,162,70,Veg,F,True,False,84.0,105.0
20,176,87,Veg,M,False,False,130.5,156.6
43,162,82,Non-veg,F,False,False,98.4,123.0
36,169,51,Non-veg,M,False,True,76.5,91.8
25,167,81,Non-veg,F,False,True,97.2,121.5
22,159,52,Veg,F,True,False,62.4,78.0
54,179,117,Veg,M,False,False,175.5,210.6
54,153,113,Veg,F,False,False,135.6,169.5
25,163,59,Veg,F,True,True,70.8,88.5
49,166,110,Non-veg,M,False,False,165.0,198.0
22,170,49,Non-veg,F,True,False,58.8,73.5
42,169,84,Veg,M,True,False,126.0,151.2
26,166,80,Veg,M,True,False,120.0,144.0
50,190,84,Veg,M,False,True,126.0,151.2
51,150,67,Veg,F,True,False,80.4,100.5
58,160,102,Non-veg,F,True,False,122.4,153.0
22,156,53,Non-veg,F,False,False,63.6,79.5
59,181,86,Non-veg,M,True,True,129.0,154.8
33,167,69,Non-veg,F,False,True,82.8,103.5
36,160,86,Non-veg,F,True,False,103.2,129.0
29,150,112,Non-veg,F,True,False,134.4,168.0
41,152,66,Non-veg,F,False,True,79.2,99.0
34,163,65,Non-veg,F,True,False,78.0,97.5
48,154,119,Veg,F,False,False,142.8,178.5
43,170,80,Veg,F,True,False,96.0,120.0
33,155,105,Non-veg,F,True,False,126.0,157.5
55,169,66,Non-veg,F,False,True,79.2,99.0
50,166,56,Veg,M,True,True,84.0,100.8
58,165,115,Non-veg,M,True,False,172.5,207.0
60,166,70,Non-veg,F,False,True,84.0,105.0
43,159,83,Non-veg,F,False,False,99.6,124.5
54,159,78,Non-veg,F,True,False,93.6,117.0
36,152,47,Veg,F,True,True,56.4,70.5
32,189,69,Veg,M,True,True,103.5,124.2
60,169,103,Veg,M,True,True,154.5,185.4
36,155,87,Veg,F,False,False,104.4,130.5
40,157,73,Non-veg,F,True,True,87.6,109.5
18,167,112,Veg,F,True,False,134.4,168.0
25,160,50,Non-veg,F,False,False,60.0,75.0
21,161,78,Non-veg,F,True,False,93.6,117.0
28,157,74,Non-veg,F,False,True,88.8,111.0
29,189,63,Non-veg,M,True,True,94.5,113.4
31,156,95,Non-veg,F,False,True,114.0,142.5
47,169,105,Non-veg,M,False,True,157.5,189.0
39,189,71,Veg,M,True,True,106.5,127.8
58,160,91,Non-veg,F,False,True,109.2,136.5
48,167,101,Non-veg,F,False,False,121.2,151.5
31,190,57,Veg,M,True,True,85.5,102.6
56,165,58,Non-veg,F,True,True,69.6,87.0
23,178,109,Veg,M,False,True,163.5,196.2
35,166,54,Veg,F,False,False,64.8,81.0
29,156,50,Veg,F,False,True,60.0,75.0
54,181,74,Non-veg,M,True,True,111.0,133.2
57,151,50,Veg,F,False,False,60.0,75.0
38,165,73,Veg,F,False,True,87.6,109.5
34,155,85,Non-veg,F,False,False,102.0,127.5
22,154,55,Veg,F,True,True,66.0,82.5
19,154,96,Veg,F,True,True,115.2,144.0
38,158,86,Non-veg,F,False,True,103.2,129.0
59,175,98,Veg,M,False,True,147.0,176.4
46,188,78,Veg,M,False,True,117.0,140.4
39,158,111,Veg,F,False,True,133.2,166.5
18,164,111,Non-veg,M,True,False,166.5,199.8
49,156,115,Non-veg,F,True,False,138.0,172.5
43,170,91,Non-veg,M,False,False,136.5,163.8
46,168,81,Veg,F,True,True,97.2,121.5
43,167,57,Veg,M,False,False,85.5,102.6
58,161,95,Non-veg,M,False,True,142.5,171.0
35,173,49,Veg,M,True,False,73.5,88.2
53,179,109,Non-veg,M,True,True,163.5,196.2
33,190,75,Non-veg,M,True,True,112.5,135.0
55,151,113,Non-veg,F,False,False,135.6,169.5
51,183,60,Non-veg,M,True,False,90.0,108.0
34,170,58,Veg,F,False,False,69.6,87.0
27,165,66,Non-veg,F,False,True,79.2,99.0
20,156,86,Veg,F,True,False,103.2,129.0
46,156,84,Veg,F,False,False,100.8,126.0
56,157,113,Veg,F,False,False,135.6,169.5
37,165,73,Non-veg,F,False,False,87.6,109.5
19,167,77,Non-veg,F,False,False,92.4,115.5
35,158,48,Non-veg,F,True,False,57.6,72.0
51,167,67,Non-veg,F,True,True,80.4,100.5
26,154,92,Veg,F,True,False,110.4,138.0
39,167,94,Non-veg,F,True,False,112.8,141.0
36,164,90,Veg,F,True,False,108.0,135.0
59,174,48,Veg,M,False,False,72.0,86.4
35,150,62,Non-veg,F,False,True,74.4,93.0
28,155,103,Veg,F,False,True,123.6,154.5
30,150,62,Non-veg,F,True,True,74.4,93.0
41,153,113,Non-veg,F,True,True,135.6,169.5
55,179,91,Veg,M,False,True,136.5,163.8
54,170,81,Non-veg,M,False,False,121.5,145.8
29,165,111,Non-veg,F,True,False,133.2,166.5
39,163,52,Veg,F,True,True,62.4,78.0
46,179,59,Non-veg,M,False,True,88.5,106.2
18,170,119,Non-veg,F,True,True,142.8,178.5
59,162,69,Non-veg,F,False,True,82.8,103.5
50,157,62,Veg,F,True,True,74.4,93.0
22,164,63,Veg,F,False,True,75.6,94.5
55,181,77,Non-veg,M,True,True,115.5,138.6
37,173,64,Non-veg,M,False,True,96.0,115.2
46,167,77,Non-veg,M,False,True,115.5,138.6
21,175,105,Veg,M,True,True,157.5,189.0
52,158,51,Veg,F,True,True,61.2,76.5
47,182,91,Non-veg,M,False,True,136.5,163.8
46,165,108,Non-veg,F,True,False,129.6,162.0
47,158,65,Non-veg,F,True,False,78.0,97.5
23,177,83,Non-veg,M,False,True,124.5,149.4
34,164,97,Veg,M,False,True,145.5,174.6
40,186,83,Veg,M,False,True,124.5,149.4
18,153,89,Veg,F,False,False,106.8,133.5
52,151,83,Veg,F,True,False,99.6,124.5
44,170,118,Veg,F,True,True,141.6,177.0
52,170,93,Non-veg,F,False,False,111.6,139.5
48,155,86,Non-veg,F,False,False,103.2,129.0
50,181,112,Veg,M,True,True,168.0,201.6
19,157,71,Veg,F,True,False,85.2,106.5
34,160,120,Veg,F,True,False,144.0,180.0
49,182,85,Veg,M,False,False,127.5,153.0
56,157,71,Non-veg,F,False,False,85.2,106.5
18,152,106,Non-veg,F,True,False,127.2,159.0
35,160,82,Veg,F,True,True,98.4,123.0
21,186,76,Veg,M,False,True,114.0,136.8
52,179,106,Non-veg,M,False,True,159.0,190.8
55,170,100,Non-veg,M,False,False,150.0,180.0
57,166,58,Non-veg,M,False,True,87.0,104.4
34,161,87,Non-veg,F,False,True,104.4,130.5
50,169,54,Non-veg,F,False,False,64.8,81.0
33,174,100,Veg,M,True,True,150.0,180.0
33,160,114,Veg,M,False,True,171.0,205.2
35,184,50,Non-veg,M,True,False,75.0,90.0
48,166,42,Veg,F,True,False,50.4,63.0
58,150,119,Veg,F,False,False,142.8,178.5
45,161,73,Non-veg,M,True,True,109.5,131.4
49,166,91,Veg,F,True,True,109.2,136.5
56,154,102,Veg,F,False,False,122.4,153.0
56,186,72,Non-veg,M,True,False,108.0,129.6
47,165,107,Veg,F,True,False,128.4,160.5
25,164,116,Veg,M,False,False,174.0,208.8
54,155,106,Non-veg,F,True,False,127.2,159.0
59,164,115,Veg,F,False,True,138.0,172.5
29,162,53,Veg,M,True,True,79.5,95.4
59,159,117,Non-veg,F,False,True,140.4,175.5
53,168,84,Veg,F,True,False,100.8,126.0
44,157,99,Non-veg,F,False,True,118.8,148.5
45,153,92,Veg,F,True,False,110.4,138.0
33,155,107,Veg,F,False,False,128.4,160.5
57,152,58,Non-veg,F,True,True,69.6,87.0
38,165,59,Non-veg,F,False,True,70.8,88.5
28,171,60,Non-veg,M,False,False,90.0,108.0
41,164,71,Non-veg,F,True,True,85.2,106.5
32,151,107,Non-veg,F,True,True,128.4,160.5
23,152,72,Non-veg,F,True,False,86.4,108.0
38,158,53,Veg,F,False,True,63.6,79.5
38,188,44,Veg,M,True,True,66.0,79.2
31,186,77,Veg,M,True,True,115.5,138.6
38,188,103,Non-veg,M,False,True,154.5,185.4
59,170,86,Non-veg,M,True,False,129.0,154.8
29,172,65,Non-veg,M,False,False,97.5,117.0
39,180,104,Veg,M,False,True,156.0,187.2
28,150,74,Non-veg,F,True,False,88.8,111.0
60,169,75,Non-veg,F,False,False,90.0,112.5
28,157,76,Non-veg,F,False,True,91.2,114.0
56,169,44,Veg,F,True,False,52.8,66.0
32,164,51,Veg,M,True,False,76.5,91.8
24,151,53,Veg,F,False,False,63.6,79.5
22,160,59,Non-veg,M,True,False,88.5,106.2
35,166,79,Non-veg,M,False,False,118.5,142.2
35,171,58,Non-veg,M,True,False,87.0,104.4
52,162,86,Non-veg,F,False,False,103.2,129.0
39,165,41,Non-veg,F,False,True,49.2,61.5
57,172,46,Veg,M,False,False,69.0,82.8
56,168,115,Veg,F,True,False,138.0,172.5
52,156,46,Veg,F,False,True,55.2,69.0
19,161,62,Veg,F,False,True,74.4,93.0
31,164,90,Non-veg,F,False,False,108.0,135.0
41,172,99,Veg,M,True,False,148.5,178.2
23,163,82,Non-veg,M,False,True,123.0,147.6
51,170,81,Veg,M,False,False,121.5,145.8
33,170,72,Non-veg,M,True,False,108.0,129.6
41,160,48,Veg,M,True,True,72.0,86.4
49,169,49,Veg,M,False,True,73.5,88.2
27,166,112,Non-veg,F,True,True,134.4,168.0
56,166,102,Veg,F,False,True,122.4,153.0
25,179,80,Veg,M,True,True,120.0,144.0
50,163,68,Non-veg,M,False,True,102.0,122.4
40,184,113,Veg,M,False,True,169.5,203.4
20,158,115,Non-veg,F,True,True,138.0,172.5
37,179,76,Veg,M,True,False,114.0,136.8
51,160,104,Non-veg,M,True,False,156.0,187.2
27,151,62,Veg,F,False,True,74.4,93.0
18,174,41,Veg,M,True,False,61.5,73.8
20,185,45,Veg,M,False,False,67.5,81.0
60,176,40,Non-veg,M,False,True,60.0,72.0
28,163,119,Non-veg,F,False,True,142.8,178.5
35,155,56,Non-veg,F,True,True,67.2,84.0
38,150,46,Non-veg,F,True,True,55.2,69.0
28,162,84,Veg,M,True,True,126.0,151.2
33,166,112,Non-veg,F,True,False,134.4,168.0
32,165,88,Veg,M,False,True,132.0,158.4
26,171,49,Veg,M,False,False,73.5,88.2
27,152,83,Veg,F,False,False,99.6,124.5
31,156,75,Veg,F,True,True,90.0,112.5
47,169,95,Veg,M,False,True,142.5,171.0
31,159,56,Non-veg,F,False,False,67.2,84.0
26,156,77,Non-veg,F,True,True,92.4,115.5
38,168,42,Non-veg,M,True,False,63.0,75.6
42,172,68,Non-veg,M,True,True,102.0,122.4
38,155,81,Veg,F,True,False,97.2,121.5
58,162,72,Non-veg,F,True,False,86.4,108.0
28,168,49,Veg,F,False,False,58.8,73.5
57,170,70,Veg,F,True,False,84.0,105.0
52,153,48,Non-veg,F,False,True,57.6,72.0
56,186,81,Veg,M,False,False,121.5,145.8
57,178,40,Veg,M,True,False,60.0,72.0
36,179,71,Non-veg,M,False,False,106.5,127.8
58,160,116,Non-veg,M,True,False,174.0,208.8
50,162,73,Non-veg,F,True,False,87.6,109.5
46,158,116,Non-veg,F,False,True,139.2,174.0
24,183,75,Non-veg,M,True,False,112.5,135.0
35,171,103,Non-veg,M,False,True,154.5,185.4
55,166,53,Non-veg,F,False,True,63.6,79.5
50,164,46,Non-veg,M,True,False,69.0,82.8
29,168,120,Veg,M,True,False,180.0,216.0
21,166,49,Non-veg,F,False,False,58.8,73.5
22,175,81,Non-veg,M,False,False,121.5,145.8
29,164,91,Veg,F,False,False,109.2,136.5
26,154,69,Veg,F,False,False,82.8,103.5
34,179,106,Veg,M,False,True,159.0,190.8
60,187,101,Veg,M,True,True,151.5,181.8
40,158,77,Non-veg,F,False,True,92.4,115.5
33,164,93,Non-veg,M,False,True,139.5,167.4
18,155,42,Veg,F,True,True,50.4,63.0
30,158,81,Veg,F,False,True,97.2,121.5
20,152,41,Veg,F,False,True,49.2,61.5
52,165,101,Non-veg,M,False,False,151.5,181.8
22,166,112,Veg,M,False,True,168.0,201.6
31,173,47,Veg,M,False,True,70.5,84.6
51,164,66,Non-veg,M,True,True,99.0,118.8
22,168,50,Non-veg,F,True,False,60.0,75.0
26,181,87,Veg,M,False,True,130.5,156.6
41,174,46,Non-veg,M,False,True,69.0,82.8
19,165,99,Non-veg,M,True,True,148.5,178.2
19,168,90,Non-veg,M,True,False,135.0,162.0
22,156,60,Veg,F,True,True,72.0,90.0
46,155,49,Veg,F,False,False,58.8,73.5
49,186,112,Veg,M,False,True,168.0,201.6
54,175,89,Non-veg,M,False,False,133.5,160.2
46,155,61,Veg,F,True,False,73.2,91.5
53,169,86,Veg,F,True,False,103.2,129.0
28,187,55,Non-veg,M,True,False,82.5,99.0
53,189,65,Non-veg,M,True,False,97.5,117.0
29,168,112,Veg,F,True,False,134.4,168.0
26,167,69,Veg,M,False,True,103.5,124.2
48,187,101,Non-veg,M,True,False,151.5,181.8
56,158,64,Non-veg,F,False,True,76.8,96.0
25,169,48,Veg,M,False,False,72.0,86.4
26,169,77,Non-veg,M,True,False,115.5,138.6
41,169,51,Veg,F,True,True,61.2,76.5
26,179,90,Veg,M,True,False,135.0,162.0
55,153,104,Veg,F,False,False,124.8,156.0
32,186,42,Veg,M,True,False,63.0,75.6
